CUSTOMER,Pin-pkg,Prod_ID,Bond ID,TA/TB,entity,Lot amount,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB501,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB502,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB503,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB507,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB511,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB512,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB514,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB519,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB524,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB533,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB536,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB537,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB538,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB543,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB548,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB553,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB555,1,,
